sale_id,sale_date,product_id,units_sold,unit_price,promotion,discount_pct,sales_channel
1,2025-01-01,P001,19,74999,False,0,Online
2,2025-01-02,P001,18,74999,False,0,Online
3,2025-01-03,P001,19,74999,False,0,Retail
4,2025-01-04,P001,19,74999,False,0,Online
5,2025-01-05,P001,18,74999,True,10,Retail
6,2025-01-06,P001,18,74999,False,0,Online
7,2025-01-07,P001,21,74999,False,0,B2B
8,2025-01-08,P001,20,74999,False,0,Retail
9,2025-01-09,P001,17,74999,False,0,Online
10,2025-01-10,P001,19,74999,False,0,Retail
11,2025-01-11,P001,19,74999,True,15,Online
12,2025-01-12,P001,15,74999,False,0,Online
13,2025-01-13,P001,19,74999,False,0,Online
14,2025-01-14,P001,14,74999,False,0,Retail
15,2025-01-15,P001,14,74999,False,0,Online
16,2025-01-16,P001,21,74999,True,15,Online
17,2025-01-17,P001,16,74999,False,0,Online
18,2025-01-18,P001,17,74999,False,0,B2B
19,2025-01-19,P001,14,74999,False,0,Retail
20,2025-01-20,P001,15,74999,False,0,B2B
21,2025-01-21,P001,46,74999,True,20,Retail
22,2025-01-22,P001,18,74999,False,0,Online
23,2025-01-23,P001,18,74999,False,0,Retail
24,2025-01-24,P001,15,74999,False,0,Retail
25,2025-01-25,P001,15,74999,False,0,Online
26,2025-01-26,P001,16,74999,False,0,Online
27,2025-01-27,P001,16,74999,False,0,Online
28,2025-01-28,P001,19,74999,False,0,Online
29,2025-01-29,P001,17,74999,False,0,Retail
30,2025-01-30,P001,18,74999,False,0,Online
31,2025-01-31,P001,17,74999,False,0,B2B
32,2025-02-01,P001,19,74999,False,0,Online
33,2025-02-02,P001,16,74999,False,0,Retail
34,2025-02-03,P001,16,74999,False,0,Retail
35,2025-02-04,P001,20,74999,False,0,Retail
36,2025-02-05,P001,16,74999,False,0,Retail
37,2025-02-06,P001,19,74999,False,0,Online
38,2025-02-07,P001,14,74999,False,0,Online
39,2025-02-08,P001,13,74999,False,0,Online
40,2025-02-09,P001,16,74999,False,0,B2B
41,2025-02-10,P001,20,74999,False,0,Online
42,2025-02-11,P001,19,74999,False,0,Retail
43,2025-02-12,P001,18,74999,False,0,Online
44,2025-02-13,P001,18,74999,False,0,Online
45,2025-02-14,P001,17,74999,True,10,Retail
46,2025-02-15,P001,19,74999,True,20,Online
47,2025-02-16,P001,15,74999,False,0,Retail
48,2025-02-17,P001,27,74999,True,20,B2B
49,2025-02-18,P001,19,74999,False,0,Retail
50,2025-02-19,P001,14,74999,False,0,B2B
51,2025-02-20,P001,19,74999,False,0,Online
52,2025-02-21,P001,17,74999,False,0,Retail
53,2025-02-22,P001,15,74999,False,0,B2B
54,2025-02-23,P001,17,74999,False,0,Online
55,2025-02-24,P001,21,74999,False,0,Online
56,2025-02-25,P001,20,74999,False,0,Online
57,2025-02-26,P001,17,74999,False,0,Online
58,2025-02-27,P001,22,74999,True,15,Online
59,2025-02-28,P001,21,74999,True,5,Online
60,2025-03-01,P001,19,74999,False,0,Retail
61,2025-03-02,P001,16,74999,False,0,Retail
62,2025-03-03,P001,19,74999,False,0,Online
63,2025-03-04,P001,17,74999,False,0,Online
64,2025-03-05,P001,16,74999,False,0,Online
65,2025-03-06,P001,24,74999,True,10,Retail
66,2025-03-07,P001,23,74999,False,0,B2B
67,2025-03-08,P001,17,74999,False,0,Online
68,2025-03-09,P001,19,74999,False,0,Retail
69,2025-03-10,P001,20,74999,False,0,Retail
70,2025-03-11,P001,18,74999,False,0,B2B
71,2025-03-12,P001,20,74999,False,0,Online
72,2025-03-13,P001,23,74999,False,0,B2B
73,2025-03-14,P001,25,74999,True,20,Online
74,2025-03-15,P001,20,74999,False,0,B2B
75,2025-03-16,P001,12,74999,False,0,Online
76,2025-03-17,P001,21,74999,False,0,Online
77,2025-03-18,P001,26,74999,True,20,Retail
78,2025-03-19,P001,19,74999,False,0,Retail
79,2025-03-20,P001,19,74999,False,0,Online
80,2025-03-21,P001,15,74999,False,0,Online
81,2025-03-22,P001,17,74999,False,0,Online
82,2025-03-23,P001,18,74999,False,0,Online
83,2025-03-24,P001,23,74999,False,0,Online
84,2025-03-25,P001,18,74999,False,0,Retail
85,2025-03-26,P001,17,74999,False,0,Online
86,2025-03-27,P001,21,74999,True,10,B2B
87,2025-03-28,P001,21,74999,False,0,B2B
88,2025-03-29,P001,18,74999,False,0,Online
89,2025-03-30,P001,16,74999,False,0,B2B
90,2025-03-31,P001,21,74999,False,0,Online
91,2025-04-01,P001,23,74999,True,10,B2B
92,2025-04-02,P001,21,74999,False,0,Online
93,2025-04-03,P001,18,74999,False,0,Online
94,2025-04-04,P001,19,74999,False,0,Online
95,2025-04-05,P001,18,74999,True,5,Online
96,2025-04-06,P001,14,74999,False,0,Online
97,2025-04-07,P001,26,74999,True,20,Online
98,2025-04-08,P001,20,74999,False,0,B2B
99,2025-04-09,P001,19,74999,False,0,Retail
100,2025-04-10,P001,19,74999,False,0,Online
101,2025-04-11,P001,16,74999,False,0,Online
102,2025-04-12,P001,16,74999,False,0,Retail
103,2025-04-13,P001,17,74999,False,0,Online
104,2025-04-14,P001,17,74999,False,0,Online
105,2025-04-15,P001,19,74999,False,0,Retail
106,2025-04-16,P001,20,74999,False,0,B2B
107,2025-04-17,P001,29,74999,True,15,Retail
108,2025-04-18,P001,20,74999,False,0,Online
109,2025-04-19,P001,18,74999,False,0,B2B
110,2025-04-20,P001,17,74999,False,0,Online
111,2025-04-21,P001,15,74999,False,0,Retail
112,2025-04-22,P001,19,74999,False,0,Online
113,2025-04-23,P001,19,74999,False,0,B2B
114,2025-04-24,P001,34,74999,True,20,Online
115,2025-04-25,P001,19,74999,False,0,Retail
116,2025-04-26,P001,18,74999,False,0,Online
117,2025-04-27,P001,17,74999,False,0,Retail
118,2025-04-28,P001,17,74999,False,0,Retail
